id	fs_id	name	group	side	r	g	b
1	2	Left-Cerebral-White-Matter	wm	L	245	245	245
2	4	Left-Lateral-Ventricle	ventricle	L	120	18	134
3	5	Left-Inf-Lat-Vent	ventricle	L	196	58	250
4	7	Left-Cerebellum-White-Matter	cerebellum	L	220	248	164
5	8	Left-Cerebellum-Cortex	cerebellum	L	230	148	34
6	10	Left-Thalamus	subcortical	L	0	118	14
7	11	Left-Caudate	subcortical	L	122	186	220
8	12	Left-Putamen	subcortical	L	236	13	176
9	13	Left-Pallidum	subcortical	L	12	48	255
10	14	3rd-Ventricle	ventricle	M	204	182	142
11	15	4th-Ventricle	ventricle	M	42	204	164
12	16	Brain-Stem	brainstem	M	119	159	176
13	17	Left-Hippocampus	subcortical	L	220	216	20
14	18	Left-Amygdala	subcortical	L	103	255	255
15	24	CSF	other	M	60	60	60
16	26	Left-Accumbens-area	subcortical	L	255	165	0
17	28	Left-VentralDC	subcortical	L	145	42	42
18	31	Left-choroid-plexus	other	L	0	200	200
19	41	Right-Cerebral-White-Matter	wm	R	245	245	245
20	43	Right-Lateral-Ventricle	ventricle	R	120	18	134
21	44	Right-Inf-Lat-Vent	ventricle	R	196	58	250
22	46	Right-Cerebellum-White-Matter	cerebellum	R	220	248	164
23	47	Right-Cerebellum-Cortex	cerebellum	R	230	148	34
24	49	Right-Thalamus	subcortical	R	0	118	14
25	50	Right-Caudate	subcortical	R	122	186	220
26	51	Right-Putamen	subcortical	R	236	13	176
27	52	Right-Pallidum	subcortical	R	13	48	255
28	53	Right-Hippocampus	subcortical	R	220	216	20
29	54	Right-Amygdala	subcortical	R	103	255	255
30	58	Right-Accumbens-area	subcortical	R	255	165	0
31	60	Right-VentralDC	subcortical	R	165	42	42
32	63	Right-choroid-plexus	other	R	0	200	221
33	77	WM-hypointensities	wm	M	200	70	255
34	251	CC_Posterior	cc	M	0	0	64
35	252	CC_Mid_Posterior	cc	M	0	0	112
36	253	CC_Central	cc	M	0	0	160
37	254	CC_Mid_Anterior	cc	M	0	0	208
38	255	CC_Anterior	cc	M	0	0	255
39	1002	ctx-lh-caudalanteriorcingulate	cortex	L	125	100	160
40	1003	ctx-lh-caudalmiddlefrontal	cortex	L	100	25	0
41	1005	ctx-lh-cuneus	cortex	L	220	20	100
42	1006	ctx-lh-entorhinal	cortex	L	220	20	10
43	1007	ctx-lh-fusiform	cortex	L	180	220	140
44	1008	ctx-lh-inferiorparietal	cortex	L	220	60	220
45	1009	ctx-lh-inferiortemporal	cortex	L	180	40	120
46	1010	ctx-lh-isthmuscingulate	cortex	L	140	20	140
47	1011	ctx-lh-lateraloccipital	cortex	L	20	30	140
48	1012	ctx-lh-lateralorbitofrontal	cortex	L	35	75	50
49	1013	ctx-lh-lingual	cortex	L	225	140	140
50	1014	ctx-lh-medialorbitofrontal	cortex	L	200	35	75
51	1015	ctx-lh-middletemporal	cortex	L	160	100	50
